,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2092,Inter,Pescara,2,0,H,1,0,H,17,10,4,2,9,9,5,4,2,2,0,0
2093,Cagliari,Genoa,2,1,H,0,0,D,20,9,5,5,19,22,6,5,3,3,0,1
2094,Catania,Roma,1,0,H,0,0,D,15,14,4,2,19,19,6,4,4,3,0,0
2095,Lazio,Atalanta,2,0,H,0,0,D,13,7,4,1,15,14,8,4,2,4,0,1
2096,Napoli,Palermo,3,0,H,2,0,H,13,10,4,3,14,16,8,3,0,2,0,0
2097,Parma,Juventus,1,1,D,0,0,D,10,18,2,9,14,8,3,9,2,1,0,0
2098,Sampdoria,Milan,0,0,D,0,0,D,12,14,5,5,12,12,10,9,1,2,0,0
2099,Torino,Siena,3,2,H,3,1,H,6,15,3,7,13,17,0,12,1,4,0,0
2100,Udinese,Fiorentina,3,1,H,1,1,D,12,21,5,2,7,13,5,5,3,3,0,0
2101,Juventus,Udinese,4,0,H,1,0,H,20,10,8,2,7,9,8,5,1,2,0,0
2102,Milan,Bologna,2,1,H,0,0,D,24,6,7,2,16,9,9,1,1,3,0,0
2103,Palermo,Lazio,2,2,D,0,1,A,13,14,3,6,14,12,6,2,3,3,0,0
2104,Atalanta,Cagliari,1,1,D,0,1,A,15,8,3,1,12,14,7,2,1,2,1,0
2105,Chievo,Parma,1,1,D,0,1,A,10,7,6,1,12,10,11,2,2,2,0,0
2106,Fiorentina,Napoli,1,1,D,1,1,D,14,10,3,5,20,17,4,3,3,3,0,0
2107,Genoa,Catania,0,2,A,0,1,A,14,10,4,4,14,19,6,3,1,1,0,0
2108,Pescara,Torino,0,2,A,0,2,A,11,12,2,5,24,15,2,3,3,3,1,0
2109,Roma,Inter,1,1,D,1,1,D,16,16,3,2,10,14,2,6,3,6,0,0
2110,Siena,Sampdoria,1,0,H,0,0,D,9,6,3,1,17,9,8,2,3,0,0,0
2111,Juventus,Genoa,1,1,D,0,0,D,16,8,6,1,10,17,8,1,2,4,0,0
2112,Lazio,Chievo,0,1,A,0,0,D,17,6,6,2,15,11,6,3,3,1,0,0
2113,Atalanta,Milan,0,1,A,0,1,A,8,15,1,3,14,13,7,7,5,4,1,0
2114,Bologna,Roma,3,3,D,2,2,D,13,14,9,7,23,21,7,3,5,3,0,0
2115,Cagliari,Palermo,1,1,D,0,1,A,18,9,7,2,14,20,12,4,3,5,0,1
2116,Catania,Fiorentina,2,1,H,0,1,A,5,14,3,3,26,12,1,4,6,2,0,1
2117,Inter,Torino,2,2,D,1,1,D,14,12,4,5,16,10,7,3,1,1,0,0
2118,Parma,Napoli,1,2,A,0,1,A,19,16,4,8,17,12,13,6,5,3,0,0
2119,Sampdoria,Pescara,6,0,H,2,0,H,20,2,10,0,11,23,8,0,1,2,0,0
2120,Udinese,Siena,1,0,H,1,0,H,8,9,3,1,20,22,4,4,5,2,0,0
2121,Roma,Cagliari,2,4,A,1,1,D,31,10,8,4,10,16,7,2,3,2,0,0
2122,Napoli,Catania,2,0,H,2,0,H,14,14,3,2,16,20,4,10,3,1,0,0
2123,Torino,Sampdoria,0,0,D,0,0,D,10,7,2,0,14,17,5,3,1,1,0,0
2124,Chievo,Juventus,1,2,A,0,2,A,9,18,3,6,20,12,0,4,2,1,0,0
2125,Fiorentina,Parma,2,0,H,1,0,H,13,14,7,4,8,13,9,4,1,3,0,0
2126,Genoa,Lazio,3,2,H,2,0,H,9,11,4,3,21,18,3,6,3,2,0,0
2127,Milan,Udinese,2,1,H,1,0,H,22,6,9,1,15,17,10,1,1,4,0,0
2128,Palermo,Atalanta,1,2,A,0,0,D,17,10,6,5,19,14,4,2,1,3,0,0
2129,Pescara,Bologna,2,3,A,2,1,H,9,20,2,6,27,18,4,5,4,1,0,0
2130,Siena,Inter,3,1,H,2,1,H,14,17,6,7,13,11,4,8,2,1,0,1
2131,Juventus,Fiorentina,2,0,H,2,0,H,17,12,7,4,16,17,4,5,2,3,0,0
2132,Lazio,Napoli,1,1,D,1,0,H,20,14,6,7,15,14,8,5,5,3,0,0
2133,Atalanta,Catania,0,0,D,0,0,D,10,11,1,4,17,22,5,3,5,3,0,0
2134,Bologna,Siena,1,1,D,1,1,D,13,8,3,1,14,22,5,3,2,3,0,0
2135,Cagliari,Milan,1,1,D,1,0,H,11,16,2,7,17,15,4,4,3,3,1,0
2136,Inter,Chievo,3,1,H,2,1,H,14,10,9,1,12,11,8,3,2,1,0,0
2137,Palermo,Pescara,1,1,D,0,0,D,15,11,3,4,9,14,7,3,1,2,0,0
2138,Parma,Genoa,0,0,D,0,0,D,16,10,4,3,27,14,9,3,2,1,0,0
2139,Sampdoria,Roma,3,1,H,0,0,D,10,18,6,5,5,9,7,4,1,2,0,0
2140,Udinese,Torino,1,0,H,1,0,H,15,9,5,1,16,14,2,6,0,3,0,0
2141,Milan,Parma,2,1,H,1,0,H,13,11,6,2,18,18,3,7,1,1,0,0
2142,Chievo,Palermo,1,1,D,0,1,A,7,4,2,1,23,17,4,5,2,2,0,0
2143,Roma,Juventus,1,0,H,0,0,D,10,5,5,3,11,19,4,7,2,3,0,0
